事件,事件编码,事件等级,事件名称,版本号,事件类型,埋点触发时机,上报端,应用场景,是否落G库,通用/定制,事件备注,序号,字段,字段分类,字段名称,是否必传,是否为枚举,字段类型,字段说明,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,money_type,扩展,货币类型,是,是,dimension,来源游戏，记录充值货币id,,,,,,,,,,,,
,,,,,,,,,,,,13,change_amount,扩展,变化数量,是,否,int,来源游戏，货币变化数量,,,,,,,,,,,,
,,,,,,,,,,,,14,before_amount,扩展,变化前值,是,否,int,来源游戏，变化前值,,,,,,,,,,,,
,,,,,,,,,,,,15,after_amount,扩展,变化后值,是,否,int,来源游戏，变化后值,,,,,,,,,,,,
,,,,,,,,,,,,16,op_type,扩展,变化行为分类,是,是,dimension,来源游戏，变化行为分类【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,17,op_type1,扩展,扩展参数,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,18,op_type2,扩展,扩展属性2,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,19,op_type3,扩展,扩展属性3,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
充值货币消耗,101020,A,use_money,1.0 ,角色事件,"角色消耗充值货币时记录
（如果充值货币有额外赠送的，需要区分）",服务端,"产销监控/充值货币产销监控
客诉处理/客服明细查询工具
财务对账/充值货币存量及产销",是,通用,通过【{op_type}】【{op_type1}】【{op_type2}】消耗货币 【{money_type}】【{change_amount}】个，数量从【{before_amount}】变化为 【{after_amount}】个,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,money_type,扩展,货币类型,是,是,dimension,来源游戏，记录充值货币id,,,,,,,,,,,,
,,,,,,,,,,,,13,change_amount,扩展,变化数量,是,否,int,来源游戏，货币变化数量,,,,,,,,,,,,
,,,,,,,,,,,,14,before_amount,扩展,变化前值,是,否,int,来源游戏，变化前值,,,,,,,,,,,,
,,,,,,,,,,,,15,after_amount,扩展,变化后值,是,否,int,来源游戏，变化后值,,,,,,,,,,,,
,,,,,,,,,,,,16,op_type,扩展,变化行为分类,是,是,dimension,来源游戏，变化行为分类【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,17,op_type1,扩展,扩展参数,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,18,op_type2,扩展,扩展属性2,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,19,op_type3,扩展,扩展属性3,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
其他货币获得,101030,B,get_money_other,1.0 ,角色事件,角色获得其他货币时记录（不包含充值货币）,服务端,客诉处理/客服明细查询工具,是,通用,通过【{op_type}】【{op_type1}】【{op_type2}】获得货币 【{money_type}】【{change_amount}】个，数量从【{before_amount}】变化为 【{after_amount}】个,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,money_type,扩展,货币类型,是,是,dimension,来源游戏，记录充值货币id,,,,,,,,,,,,
,,,,,,,,,,,,13,change_amount,扩展,变化数量,是,否,int,来源游戏，货币变化数量,,,,,,,,,,,,
,,,,,,,,,,,,14,before_amount,扩展,变化前值,是,否,int,来源游戏，变化前值,,,,,,,,,,,,
,,,,,,,,,,,,15,after_amount,扩展,变化后值,是,否,int,来源游戏，变化后值,,,,,,,,,,,,
,,,,,,,,,,,,16,op_type,扩展,变化行为分类,是,是,dimension,来源游戏，变化行为分类【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,17,op_type1,扩展,扩展参数,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,18,op_type2,扩展,扩展属性2,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,19,op_type3,扩展,扩展属性3,是,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
其他货币消耗,101040,B,use_money_other,1.0 ,角色事件,角色消耗其他货币时记录（不包含充值货币）,服务端,客诉处理/客服明细查询工具,是,通用,通过【{op_type}】【{op_type1}】【{op_type2}】消耗货币 【{money_type}】【{change_amount}】个，数量从【{before_amount}】变化为 【{after_amount}】个,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,money_type,扩展,货币类型,是,是,dimension,来源游戏，记录充值货币id,,,,,,,,,,,,
,,,,,,,,,,,,13,change_amount,扩展,变化数量,是,否,int,来源游戏，货币变化数量,,,,,,,,,,,,
,,,,,,,,,,,,14,before_amount,扩展,变化前值,是,否,int,来源游戏，变化前值,,,,,,,,,,,,
,,,,,,,,,,,,15,after_amount,扩展,变化后值,是,否,int,来源游戏，变化后值,,,,,,,,,,,,
,,,,,,,,,,,,16,op_type,扩展,变化行为分类,是,是,dimension,来源游戏，变化行为分类【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,17,op_type1,扩展,扩展参数,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,18,op_type2,扩展,扩展属性2,否,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,19,op_type3,扩展,扩展属性3,是,是,dimension,来源游戏，其他补充信息内容【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
排行榜快照,103000,B,rank_snapshot,1.0 ,角色事件,根据各排行榜快照跑批时间进行快照记录,游戏服务端,客诉处理/客服明细查询工具,是,定制,,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,rank_instance_id,扩展,排行榜结算ID,是,否,string,来源游戏，排行榜结算唯一ID，用于定位排行榜结算时的轮次,,,,,,,,,,,,
,,,,,,,,,,,,13,rank_type,扩展,排行榜类型,是,是,dimension,来源游戏，如：战力排行榜，枚举说明【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,14,rank_sub_type,扩展,排行榜子类型,是,是,dimension,来源游戏，枚举说明【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,15,rank,扩展,排名,否,否,int,来源游戏，排行榜排名,,,,,,,,,,,,
,,,,,,,,,,,,16,rank_value,扩展,排行值,否,否,int,来源游戏，排行榜对应排行值,,,,,,,,,,,,
,,,,,,,,,,,,17,rank_obj_type,扩展,排行对象,是,是,dimension,来源游戏，如：角色/队伍/服务器，枚举说明【研发自定义枚举见sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,18,rank_obj_id,扩展,排行对象的唯一id,是,否,string,来源游戏，如：角色id/队伍id/服务器id,,,,,,,,,,,,
,,,,,,,,,,,,19,rank_obj_detail,扩展,补充排行对象的相关信息,是,否,string,来源游戏，补充排行对象的相关信息,,,,,,,,,,,,
关卡战,100305,B,battle,1.0 ,角色事件,"1.开始挑战时记录
2.挑战成功时记录
3.挑战失败时记录
4.挑战中记录（event_type记录为10，schedule每一波结束时记录一次）
5.放弃挑战时记录
6.打开融合界面时上报
7.打开帮助界面时上报",客户端,数值分析,是,定制,,1,log_id,内置,日志id,是,是,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,是,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,是,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,是,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,是,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,cpsdk账号id,是,是,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,是,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,是,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,是,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,grids_num,扩展,背包格子数量,是,是,string,来源游戏，记录玩家进入玩法时的能力（Ps：在 同一局对战，玩家的能力是不变的）,,,,,,,,,,,,
,,,,,,,,,,,,13,role_power,扩展,玩家能力,是,是,string,来源游戏，玩家创建副本的唯一id,,,,,,,,,,,,
,,,,,,,,,,,,14,battle_id,扩展,副本挑战id,是,是,string,来源游戏，玩家创建副本的场景类型【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,15,scene_id,扩展,关卡id,是,是,dimension,来源游戏，玩家创建副本的场景id【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,16,left_player_hp,扩展,玩家剩余血量百分比,是,是,string,来源游戏，记录对应事件发生时的副本进度（例如：开始挑战记0，挑战成功记总波次数，其他记录点根据要求记录）,,,,,,,,,,,,
,,,,,,,,,,,,17,total_damage,扩展,实际总伤害,是,是,string,来源游戏，枚举值【1=开始挑战，2=挑战成功，3=挑战失败，4=持续挑战，5=放弃挑战，6=打开融合界面，7=打开帮助界面】,,,,,,,,,,,,
,,,,,,,,,,,,18,total_blood_returning,扩展,实际总回血量,是,是,string,来源游戏，记录对应触发时间玩家剩余血量%（如果是100%，记录100，如果已经死亡记录0，向上取整）,,,,,,,,,,,,
,,,,,,,,,,,,19,total_shield_returning,扩展,实际总回盾量,是,是,string,来源游戏，记录对应触发时间的玩家背包格子数量,,,,,,,,,,,,
,,,,,,,,,,,,20,scene_type,扩展,场景类型,是,是,dimension,来源游戏，记录对应触发时间的玩家该波次实际造成的总伤害,,,,,,,,,,,,
,,,,,,,,,,,,21,schedule,扩展,进度节点,是,是,string,来源游戏，记录对应触发时间的玩家该波次实际总回血量,,,,,,,,,,,,
,,,,,,,,,,,,22,battle_event_type,扩展,关卡战事件类型,是,是,dimension,来源游戏，记录对应触发时间的玩家该波次实际总回盾量,,,,,,,,,,,,
,,,,,,,,,,,,23,carry_weapon,扩展,开局携带法宝,是,是,string,"来源游戏，开局时玩家携带的法宝格式为：法宝ID_攻击_等级_星级,, 多个用2个逗号分隔",,,,,,,,,,,,
,,,,,,,,,,,,24,auto_status,扩展,背包整理开关状态,是,是,dimension,来源游戏，记录当前是否开启背包整理功能【0=关闭，1=开启】,,,,,,,,,,,,
玩家死亡,100306,B,death,1,角色事件,玩家死亡时记录,游戏客户端,数值分析,是,定制,,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,role_power,扩展,玩家能力,是,否,string,来源游戏，记录玩家进入玩法时的能力（Ps：在 同一局对战，玩家的能力是不变的）,,,,,,,,,,,,
,,,,,,,,,,,,13,battle_id,扩展,副本挑战id,是,否,string,来源游戏，玩家创建副本的唯一id,,,,,,,,,,,,
,,,,,,,,,,,,14,scene_id,扩展,关卡id,是,否,dimension,来源游戏，玩家创建副本的场景id【枚举见《枚举表sheet》】,,,,,,,,,,,,
,,,,,,,,,,,,15,schedule,扩展,进度节点,是,否,string,"来源游戏，记录对应事件发生时的副本进度（例如：玩家死亡时波次为第4波,，则记录3，只记录已经通过的波次）",,,,,,,,,,,,
,,,,,,,,,,,,16,death_event_type,扩展,死亡事件类型,是,是,string,来源游戏，枚举值【1=第1次死亡，……，N=第N次死亡】,,,,,,,,,,,,
,,,,,,,,,,,,17,grids_num,扩展,背包格子数量,是,否,string,来源游戏，记录对应触发时间的玩家背包格子数量,,,,,,,,,,,,
,,,,,,,,,,,,18,bag_equip,扩展,背包武器,是,否,string,来源游戏，死亡时玩家背包内的武器，记录格式为：道具ID_数量;2阶飞镖_2;4阶手套_1,,,,,,,,,,,,
玩家货币余额,103010,B,money_balance,1.0 ,角色事件,"3种情况下记录日志：
1、在线的玩家，每隔1小时记录一次；
2、玩家登录、登出时，分别记录一次
3、当玩家跨天在线时，23:59:59需要记录一条，00:00:00也要记录一条",游戏服务端,产销监控,是,定制,,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,money_type,扩展,货币类型,是,否,dimension,来源游戏，货币的类型,,,,,,,,,,,,
,,,,,,,,,,,,13,balance,扩展,货币余额,是,否,int,来源游戏，记录日志时，玩家的货币余额,,,,,,,,,,,,
跳转微信游戏圈,103050,B,game_community_enter,1.0 ,角色事件,角色点击跳转游戏圈按钮时上报,游戏客户端,,是,定制,,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
加入微信游戏圈,103051,B,game_community_join,1.0 ,角色事件,游戏调用查询游戏圈信息时，传入type=1，获取用户加入游戏圈时间，返回值是时间戳就上报，是0就不报,游戏客户端,,是,定制,,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38 （加入游戏圈的时间，非查询时刻的上报时间）,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
养成线成长,104000,B,grow,1.0 ,角色事件,用户成长线变化时记录,游戏服务端,"养成线分析/养成分布分析
流失分析/游戏内流失分析
破冰分析/用户充值原因分析
客诉处理/客服明细查询工具",是,定制,养成线【{grow_type}】等级提升【{change_value}】级，操作前【{before_value}】级，操作后【{after_value}】级,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
